Bandit,Reward,Algorithm
3,3.078597312925466,EpsilonGreedy
0,0.750860751316281,EpsilonGreedy
1,2.331422554785487,EpsilonGreedy
3,3.7920809988929296,EpsilonGreedy
3,4.8862915921455,EpsilonGreedy
3,2.501303251246763,EpsilonGreedy
3,2.160646535353946,EpsilonGreedy
3,5.636664802674176,EpsilonGreedy
3,3.8625476290680525,EpsilonGreedy
3,2.941899928153572,EpsilonGreedy
3,2.2413127706503158,EpsilonGreedy
3,3.7949827314378823,EpsilonGreedy
3,3.6533789550821147,EpsilonGreedy
3,3.9435600263507675,EpsilonGreedy
3,3.4858602574505353,EpsilonGreedy
3,4.961799522658731,EpsilonGreedy
3,2.862026073470524,EpsilonGreedy
3,5.18716096902685,EpsilonGreedy
3,4.948695995992446,EpsilonGreedy
3,5.377978818831172,EpsilonGreedy
3,3.7071048791826753,EpsilonGreedy
3,4.57656269376121,EpsilonGreedy
3,4.724497062433612,EpsilonGreedy
3,5.011372600798933,EpsilonGreedy
3,3.1056682044457884,EpsilonGreedy
3,5.092726472897661,EpsilonGreedy
3,4.110675443899388,EpsilonGreedy
3,4.013781041034651,EpsilonGreedy
3,2.7662328465323345,EpsilonGreedy
3,4.1689687595639695,EpsilonGreedy
3,3.874214881114574,EpsilonGreedy
3,1.8556811316549253,EpsilonGreedy
3,2.4599016087386216,EpsilonGreedy
3,3.7275291606672836,EpsilonGreedy
3,4.631658742235084,EpsilonGreedy
3,4.20903221159703,EpsilonGreedy
3,6.504242286604141,EpsilonGreedy
3,4.912695397362059,EpsilonGreedy
3,3.585383540501214,EpsilonGreedy
3,4.138870808572387,EpsilonGreedy
3,5.354519538529251,EpsilonGreedy
3,4.78374922891887,EpsilonGreedy
3,2.5863019422863833,EpsilonGreedy
3,3.7599573681810328,EpsilonGreedy
3,3.4564351346152002,EpsilonGreedy
3,4.86198062256441,EpsilonGreedy
3,3.706332519043581,EpsilonGreedy
3,2.7440256208548712,EpsilonGreedy
3,5.868812606499826,EpsilonGreedy
3,5.177300689357233,EpsilonGreedy
3,4.168900964957136,EpsilonGreedy
3,3.7866606838804144,EpsilonGreedy
3,4.04635508568239,EpsilonGreedy
0,0.06081111450703425,EpsilonGreedy
3,2.6173366910663995,EpsilonGreedy
3,4.848216696484872,EpsilonGreedy
3,0.9626814569560516,EpsilonGreedy
3,3.4668941949108785,EpsilonGreedy
3,3.811270680848954,EpsilonGreedy
3,4.2209788109990845,EpsilonGreedy
3,3.0266714715333674,EpsilonGreedy
3,4.176377483350345,EpsilonGreedy
3,5.580534559601429,EpsilonGreedy
3,5.603999068484502,EpsilonGreedy
3,3.038290038828125,EpsilonGreedy
3,3.1023422318245357,EpsilonGreedy
3,4.829161622450363,EpsilonGreedy
3,3.3536428764961315,EpsilonGreedy
3,4.8609330716565555,EpsilonGreedy
3,5.553089714068435,EpsilonGreedy
3,4.038284667814046,EpsilonGreedy
3,4.226253640291484,EpsilonGreedy
3,3.660099003154376,EpsilonGreedy
3,3.512324829518991,EpsilonGreedy
3,3.7812855008844273,EpsilonGreedy
3,4.120977494873561,EpsilonGreedy
1,2.243821555754095,EpsilonGreedy
3,2.452688704947346,EpsilonGreedy
3,4.729378741407359,EpsilonGreedy
3,3.4573824640822566,EpsilonGreedy
3,4.244157045139846,EpsilonGreedy
3,3.958984926772809,EpsilonGreedy
3,4.699316933993211,EpsilonGreedy
3,4.803255735929252,EpsilonGreedy
3,3.900178593050675,EpsilonGreedy
3,3.6536247624279623,EpsilonGreedy
3,4.91696808385548,EpsilonGreedy
3,4.402909827444865,EpsilonGreedy
3,4.965290411915035,EpsilonGreedy
3,4.874135625904804,EpsilonGreedy
3,1.3283600908407562,EpsilonGreedy
3,6.737300576799136,EpsilonGreedy
3,4.0535538361478425,EpsilonGreedy
3,6.208932460895868,EpsilonGreedy
3,3.5202945754300052,EpsilonGreedy
3,4.836955488408914,EpsilonGreedy
3,4.199802025638732,EpsilonGreedy
3,3.8255043273415033,EpsilonGreedy
3,3.2839321060975584,EpsilonGreedy
3,4.950882920595528,EpsilonGreedy
3,3.891221037146989,EpsilonGreedy
3,2.379809597624531,EpsilonGreedy
3,4.261297637826147,EpsilonGreedy
3,4.6584072515782236,EpsilonGreedy
3,5.4271933099287635,EpsilonGreedy
3,5.720424574760836,EpsilonGreedy
3,4.532369428963287,EpsilonGreedy
3,3.2134362635234113,EpsilonGreedy
3,4.671678534951733,EpsilonGreedy
3,4.986979464720902,EpsilonGreedy
3,4.494522232023703,EpsilonGreedy
3,5.42437820948577,EpsilonGreedy
3,4.526685469633846,EpsilonGreedy
3,4.840277926682281,EpsilonGreedy
3,2.399074015438539,EpsilonGreedy
3,5.373385115773116,EpsilonGreedy
3,3.0227012049896174,EpsilonGreedy
3,5.168249423451113,EpsilonGreedy
3,1.9537691299707687,EpsilonGreedy
3,5.1577888031127985,EpsilonGreedy
3,3.579460930530222,EpsilonGreedy
3,4.39126185577184,EpsilonGreedy
3,5.600434497196606,EpsilonGreedy
3,4.251787945351806,EpsilonGreedy
3,4.474078055515007,EpsilonGreedy
3,3.057285906617429,EpsilonGreedy
3,4.0049699423181675,EpsilonGreedy
3,4.2421078103497365,EpsilonGreedy
3,5.333571806680522,EpsilonGreedy
3,4.632641450847548,EpsilonGreedy
3,4.276145139187818,EpsilonGreedy
3,4.353535617722331,EpsilonGreedy
3,2.4663818920552067,EpsilonGreedy
3,5.250707720738978,EpsilonGreedy
3,3.926413894209119,EpsilonGreedy
3,3.6490023920236103,EpsilonGreedy
3,4.286204114264931,EpsilonGreedy
3,5.864637556853477,EpsilonGreedy
3,3.9326476422023267,EpsilonGreedy
1,1.9829437419905025,EpsilonGreedy
3,3.8235932444168523,EpsilonGreedy
3,5.5081117722284825,EpsilonGreedy
3,1.157561176866512,EpsilonGreedy
3,2.8638489001319245,EpsilonGreedy
3,3.4538205212386055,EpsilonGreedy
3,5.470605646854544,EpsilonGreedy
3,3.377507180385774,EpsilonGreedy
3,3.9417753722153637,EpsilonGreedy
3,4.956887786790722,EpsilonGreedy
3,3.7210661368337443,EpsilonGreedy
3,4.597723777163742,EpsilonGreedy
3,4.293959063218803,EpsilonGreedy
3,5.073307647799628,EpsilonGreedy
0,1.2196018362345349,EpsilonGreedy
3,5.520241136257129,EpsilonGreedy
3,6.547957973584875,EpsilonGreedy
3,5.064051589957345,EpsilonGreedy
3,3.9576120898909157,EpsilonGreedy
3,4.009275666795053,EpsilonGreedy
3,3.097421988632719,EpsilonGreedy
3,4.177120966892653,EpsilonGreedy
3,4.001326143091185,EpsilonGreedy
3,5.143465184935403,EpsilonGreedy
3,3.4242273790565863,EpsilonGreedy
2,3.095870667785363,EpsilonGreedy
3,4.55644693037937,EpsilonGreedy
3,2.659172570925865,EpsilonGreedy
3,5.709814783505098,EpsilonGreedy
3,4.786635179324053,EpsilonGreedy
3,2.4683322532347063,EpsilonGreedy
3,2.903206850749826,EpsilonGreedy
3,2.256400976845848,EpsilonGreedy
3,4.584562664131439,EpsilonGreedy
3,5.409850003303971,EpsilonGreedy
3,3.4001237164016875,EpsilonGreedy
3,2.778312577021384,EpsilonGreedy
3,4.545908212396519,EpsilonGreedy
3,1.8321251199788264,EpsilonGreedy
3,3.2502173864454553,EpsilonGreedy
3,3.78899580327536,EpsilonGreedy
3,4.466581213337895,EpsilonGreedy
3,2.929837587401478,EpsilonGreedy
3,5.327374568608713,EpsilonGreedy
3,3.781989044489548,EpsilonGreedy
3,3.644611938481349,EpsilonGreedy
3,5.224741041942953,EpsilonGreedy
3,3.1798773427373,EpsilonGreedy
3,4.535720213381551,EpsilonGreedy
3,3.3406149420830467,EpsilonGreedy
3,4.494452332838681,EpsilonGreedy
3,5.396563217575707,EpsilonGreedy
3,5.034715967965776,EpsilonGreedy
3,3.090798766450118,EpsilonGreedy
3,2.8590109135932527,EpsilonGreedy
3,3.170699785841086,EpsilonGreedy
3,4.6173664997940715,EpsilonGreedy
3,4.380806793494725,EpsilonGreedy
3,4.201422761187104,EpsilonGreedy
3,4.147132355436537,EpsilonGreedy
3,1.5684846185413122,EpsilonGreedy
3,5.839691566960698,EpsilonGreedy
3,4.6492032627777276,EpsilonGreedy
3,2.8427798621452496,EpsilonGreedy
3,4.268948549727451,EpsilonGreedy
3,3.9309199451863366,EpsilonGreedy
3,1.380247437538241,EpsilonGreedy
3,4.674404811580198,EpsilonGreedy
3,4.243567048529816,EpsilonGreedy
3,4.663741662964382,EpsilonGreedy
3,4.459754591345724,EpsilonGreedy
3,4.527781900620722,EpsilonGreedy
3,5.733673239911213,EpsilonGreedy
3,5.72593101424888,EpsilonGreedy
3,5.142373238480554,EpsilonGreedy
3,3.3111881161815626,EpsilonGreedy
3,3.137749041585179,EpsilonGreedy
3,5.360160445906523,EpsilonGreedy
3,4.107618483085039,EpsilonGreedy
3,4.309429335981432,EpsilonGreedy
3,3.22107843950328,EpsilonGreedy
3,3.53904213835635,EpsilonGreedy
3,4.466431863086409,EpsilonGreedy
3,4.318866499921649,EpsilonGreedy
3,2.8087401983397826,EpsilonGreedy
3,4.362255139311128,EpsilonGreedy
3,2.920263584486139,EpsilonGreedy
3,3.9320766006054444,EpsilonGreedy
3,3.9111230955487537,EpsilonGreedy
3,3.7930530733535095,EpsilonGreedy
3,3.225213689999025,EpsilonGreedy
3,4.402879552700336,EpsilonGreedy
3,4.359550766985621,EpsilonGreedy
3,3.414501684896515,EpsilonGreedy
3,3.879576574790154,EpsilonGreedy
